iter	Passed	Remaining
373	31781	95683
374	31860	95581
375	31939	95479
376	32015	95368
377	32101	95286
378	32171	95154
379	32242	95029
380	32312	94901
381	32390	94797
382	32463	94677
383	32524	94524
384	32622	94479
385	32710	94404
386	32809	94358
387	32894	94273
388	32993	94231
389	33078	94146
390	33157	94046
391	33244	93966
392	33325	93871
393	33407	93777
394	33425	93507
395	33508	93416
396	33588	93318
397	33673	93235
398	33766	93175
399	33861	93119
400	33960	93073
401	34042	92982
402	34114	92863
403	34202	92786
404	34289	92707
405	34364	92599
406	34390	92356
407	34463	92241
408	34542	92142
409	34620	92040
410	34698	91938
411	34774	91831
412	34850	91724
413	34936	91644
414	35021	91562
415	35111	91491
416	35203	91427
417	35282	91329
418	35355	91216
419	35443	91139
420	35521	91040
421	35606	90956
422	35692	90875
423	35778	90797
424	35863	90713
425	35944	90620
426	36030	90540
427	36112	90449
428	36217	90417
429	36322	90383
430	36404	90293
431	36474	90173
432	36554	90077
433	36629	89970
434	36711	89880
435	36795	89794
436	36871	89689
437	36977	89657
438	37103	89672
439	37190	89596
440	37275	89512
441	37365	89441
442	37463	89388
443	37571	89360
444	37646	89251
445	37722	89145
446	37802	89050
447	37886	88965
448	37970	88880
449	38054	88793
450	38130	88689
451	38210	88594
452	38300	88522
453	38374	88412
454	38453	88315
455	38526	88205
456	38609	88117
457	38702	88051
458	38787	87968
459	38863	87864
460	38938	87758
461	39026	87683
462	39103	87581
463	39181	87483
464	39264	87395
465	39353	87319
466	39430	87220
467	39510	87126
468	39583	87016
469	39668	86933
470	39745	86832
471	39818	86723
472	39916	86669
473	40007	86598
474	40072	86472
475	40153	86380
476	40220	86258
477	40299	86163
478	40367	86045
479	40438	85931
480	40519	85841
481	40601	85752
482	40671	85636
483	40746	85534
484	40823	85434
485	40890	85315
486	40969	85219
487	40993	85011
488	41089	84952
489	41201	84924
490	41294	84859
491	41373	84764
492	41441	84647
493	41504	84521
494	41568	84395
495	41633	84273
496	41708	84171
497	41773	84050
498	41838	83928
499	41903	83806
500	41969	83686
501	42042	83582
502	42112	83471
503	42183	83362
504	42253	83251
505	42331	83156
506	42408	83060
507	42477	82947
508	42541	82826
509	42604	82703
510	42667	82579
511	42738	82472
512	42804	82354
513	42867	82232
514	42931	82112
515	42996	81993
516	43040	81834
517	43103	81714
518	43174	81606
519	43235	81482
520	43298	81361
521	43366	81249
522	43431	81132
523	43514	81049
524	43587	80948
525	43657	80840
526	43721	80722
527	43784	80603
528	43851	80490
529	43920	80383
530	43990	80276
531	44089	80223
532	44153	80106
533	44224	80002
534	44294	79895
535	44365	79791
536	44433	79681
537	44454	79490
538	44525	79386
539	44594	79279
540	44659	79164
541	44731	79064
542	44811	78976
543	44884	78877
544	44956	78777
545	45028	78676
546	45098	78571
547	45171	78473
548	45238	78363
549	45301	78248
550	45363	78130
551	45438	78034
552	45501	77921
553	45573	77820
554	45644	77719
555	45705	77600
556	45768	77485
557	45831	77370
558	45907	77279
559	45991	77200
560	46062	77098
561	46126	76986
562	46192	76877
563	46254	76763
564	46317	76649
565	46378	76533
566	46454	76440
567	46520	76332
568	46583	76220
569	46647	76109
570	46713	76002
571	46785	75904
572	46850	75793
573	46916	75687
574	46977	75572
575	47041	75462
576	47112	75363
577	47190	75276
578	47261	75176
579	47331	75077
580	47398	74972
581	47463	74865
582	47536	74770
583	47600	74660
584	47671	74562
585	47738	74458
586	47804	74353
587	47875	74255
588	47940	74148
589	48003	74038
590	48066	73929
591	48128	73818
592	48190	73708
593	48256	73604
594	48331	73512
595	48381	73384
596	48449	73283
597	48517	73181
598	48581	73075
599	48644	72966
600	48708	72860
601	48781	72766
602	48843	72657
603	48906	72549
604	48974	72449
605	49038	72343
606	49102	72237
607	49165	72131
608	49227	72023
609	49291	71916
610	49360	71819
611	49424	71714
612	49502	71629
613	49581	71545
614	49649	71447
615	49712	71340
616	49774	71233
617	49842	71134
618	49907	71031
619	49969	70924
620	50036	70824
621	50101	70722
622	50164	70617
623	50227	70511
624	50292	70409
625	50358	70309
626	50422	70205
627	50483	70097
628	50551	70000
629	50617	69899
630	50688	69806
631	50759	69713
632	50829	69619
633	50899	69525
634	50963	69422
635	51030	69325
636	51093	69220
637	51166	69130
638	51229	69027
639	51292	68924
640	51356	68822
641	51422	68723
642	51485	68620
643	51548	68518
644	51617	68423
645	51680	68320
646	51745	68220
647	51809	68120
648	51879	68026
649	51957	67944
650	52032	67857
651	52094	67754
652	52159	67655
653	52223	67555
654	52285	67452
655	52346	67348
656	52410	67248
657	52476	67151
658	52539	67049
659	52605	66951
660	52669	66853
661	52733	66753
662	52796	66652
663	52858	66550
664	52923	66452
665	52988	66355
666	53054	66258
667	53129	66172
668	53203	66086
669	53269	65991
670	53332	65890
671	53397	65793
672	53461	65695
673	53529	65601
674	53591	65500
675	53660	65408
676	53725	65311
677	53787	65211
678	53850	65112
679	53914	65014
680	53978	64916
681	54044	64822
682	54112	64728
683	54174	64629
684	54217	64506
685	54287	64416
686	54360	64330
687	54437	64248
688	54498	64149
689	54519	64000
690	54562	63879
691	54626	63783
692	54698	63696
693	54762	63600
694	54826	63504
695	54890	63407
696	54955	63313
697	55019	63216
698	55088	63127
699	55156	63035
700	55221	62941
701	55284	62845
702	55349	62750
703	55413	62654
704	55481	62564
705	55554	62478
706	55631	62398
707	55700	62309
708	55763	62213
709	55826	62116
710	55891	62023
711	55956	61929
712	56018	61832
713	56081	61736
714	56147	61644
715	56190	61526
716	56254	61432
717	56317	61337
718	56380	61241
719	56445	61148
720	56507	61052
721	56570	60958
722	56633	60863
723	56709	60782
724	56787	60704
725	56860	60620
726	56924	60526
727	56988	60433
728	57050	60337
729	57113	60243
730	57182	60154
731	57247	60062
732	57309	59967
733	57372	59873
734	57436	59780
735	57499	59687
736	57564	59595
737	57626	59500
738	57691	59408
739	57760	59321
740	57802	59206
741	57870	59118
742	57941	59032
743	58015	58951
744	58087	58867
745	58150	58773
746	58216	58684
747	58281	58593
748	58345	58501
749	58408	58408
750	58470	58314
751	58534	58223
752	58597	58130
753	58659	58037
754	58727	57950
755	58792	57859
756	58857	57768
757	58919	57675
758	58980	57582
759	59046	57493
760	59119	57410
761	59189	57325
762	59267	57247
763	59328	57154
764	59393	57064
765	59459	56975
766	59522	56884
767	59584	56791
768	59647	56699
769	59709	56607
770	59753	56498
771	59823	56413
772	59889	56325
773	59954	56236
774	59984	56114
775	60051	56027
776	60114	55936
777	60177	55846
778	60245	55760
779	60326	55685
780	60404	55609
781	60471	55522
782	60535	55433
783	60596	55340
784	60660	55251
785	60691	55132
786	60713	55005
787	60794	54931
788	60871	54853
789	60935	54764
790	60999	54675
791	61064	54587
792	61128	54499
793	61191	54409
794	61254	54320
795	61325	54237
796	61387	54147
797	61457	54063
798	61531	53984
799	61580	53883
800	61649	53799
801	61712	53710
802	61776	53621
803	61848	53540
804	61920	53459
805	61983	53370
806	62049	53283
807	62115	53197
808	62178	53109
809	62244	53022
810	62311	52937
811	62384	52857
812	62471	52789
813	62559	52721
814	62639	52647
815	62716	52570
816	62794	52495
817	62877	52423
818	62946	52340
819	63012	52253
820	63077	52167
821	63145	52083
822	63211	51997
823	63277	51912
824	63347	51830
825	63416	51746
826	63481	51660
827	63548	51575
828	63616	51492
829	63681	51405
830	63746	51319
831	63812	51234
832	63887	51155
833	63964	51079
834	64046	51006
835	64125	50932
836	64210	50861
837	64252	50757
838	64342	50691
839	64436	50628
840	64518	50556
841	64580	50468
842	64644	50381
843	64706	50293
844	64772	50208
845	64836	50121
846	64926	50055
847	64953	49940
848	65049	49878
849	65136	49810
850	65215	49735
851	65295	49661
852	65362	49577
853	65436	49498
854	65504	49415
855	65569	49330
856	65637	49247
857	65704	49163
858	65768	49077
859	65836	48994
860	65904	48911
861	65974	48830
862	66045	48749
863	66113	48666
864	66180	48583
865	66245	48498
866	66277	48389
867	66348	48308
868	66422	48230
869	66498	48154
870	66567	48072
871	66634	47988
872	66699	47904
873	66766	47821
874	66832	47737
875	66899	47654
876	66973	47576
877	67044	47496
878	67113	47414
879	67181	47332
880	67251	47251
881	67315	47166
882	67382	47083
883	67451	47002
884	67521	46921
885	67600	46847
886	67675	46769
887	67751	46693
888	67818	46610
889	67884	46527
890	67953	46446
891	68019	46363
892	68086	46280
893	68156	46200
894	68225	46119
895	68300	46041
896	68383	45970
897	68425	45871
898	68494	45790
899	68564	45709
900	68632	45628
901	68696	45544
902	68771	45466
903	68845	45389
904	68922	45313
905	68995	45235
906	69061	45152
907	69129	45071
908	69196	44989
909	69262	44906
910	69328	44823
911	69393	44740
912	69466	44662
913	69539	44584
914	69602	44500
915	69666	44416
916	69732	44334
917	69796	44250
918	69860	44166
919	69925	44083
920	70006	44010
921	70086	43936
922	70161	43860
923	70231	43780
924	70296	43697
925	70363	43616
926	70429	43534
927	70496	43452
928	70565	43372
929	70597	43269
930	70664	43187
931	70734	43108
932	70801	43027
933	70867	42945
934	70933	42863
935	71000	42782
936	71074	42705
937	71142	42624
938	71216	42547
939	71293	42472
940	71366	42395
941	71432	42313
942	71496	42230
943	71560	42147
944	71631	42069
945	71697	41987
946	71765	41907
947	71836	41828
948	71901	41746
949	71967	41665
950	72034	41584
951	72104	41505
952	72169	41423
953	72238	41344
954	72309	41265
955	72382	41188
956	72459	41113
957	72537	41038
958	72605	40958
959	72674	40879
960	72716	40784
961	72784	40704
962	72852	40624
963	72917	40543
964	72981	40461
965	73048	40380
966	73118	40302
967	73183	40220
968	73265	40148
969	73336	40070
970	73426	40002
971	73513	39933
972	73610	39869
973	73720	39812
974	73807	39742
975	73879	39664
976	73957	39590
977	74024	39510
978	74091	39429
979	74163	39351
980	74232	39272
981	74301	39193
982	74367	39113
983	74436	39033
984	74502	38953
985	74571	38873
986	74635	38792
987	74702	38712
988	74767	38631
989	74836	38552
990	74911	38476
991	74989	38401
992	75060	38323
993	75125	38243
994	75198	38165
995	75263	38085
996	75329	38004
997	75396	37924
998	75470	37848
999	75536	37768
1000	75603	37688
1001	75669	37608
1002	75738	37529
1003	75804	37449
1004	75874	37370
1005	75941	37291
1006	76011	37213
1007	76088	37138
1008	76168	37065
1009	76239	36987
1010	76303	36906
1011	76367	36825
1012	76432	36744
1013	76502	36666
1014	76575	36590
1015	76651	36515
1016	76750	36450
1017	76842	36383
1018	76925	36311
1019	77007	36238
1020	77099	36171
1021	77178	36097
1022	77271	36029
1023	77367	35963
1024	77455	35893
1025	77536	35821
1026	77620	35749
1027	77713	35681
1028	77800	35611
1029	77874	35534
1030	77949	35459
1031	78028	35385
1032	78106	35310
1033	78171	35230
1034	78242	35152
1035	78308	35072
1036	78375	34992
1037	78442	34913
1038	78516	34837
1039	78667	34795
1040	78750	34722
1041	78818	34643
1042	78885	34564
1043	78956	34486
1044	79021	34406
1045	79089	34327
1046	79155	34247
1047	79227	34170
1048	79295	34091
1049	79362	34012
1050	79429	33933
1051	79498	33854
1052	79566	33775
1053	79638	33699
1054	79702	33618
1055	79773	33541
1056	79851	33466
1057	79923	33389
1058	79992	33311
1059	80059	33232
1060	80125	33152
1061	80192	33073
1062	80263	32996
1063	80328	32916
1064	80393	32836
1065	80459	32757
1066	80525	32678
1067	80590	32598
1068	80659	32520
1069	80728	32442
1070	80795	32363
1071	80865	32285
1072	80934	32207
1073	81011	32132
1074	81089	32058
1075	81161	31981
1076	81227	31902
1077	81298	31825
1078	81361	31745
1079	81429	31667
1080	81510	31593
1081	81589	31519
1082	81665	31444
1083	81752	31373
1084	81830	31299
1085	81915	31227
1086	81999	31155
1087	82081	31082
1088	82186	31018
1089	82311	30961
1090	82403	30891
1091	82485	30818
1092	82557	30741
1093	82625	30663
1094	82690	30584
1095	82758	30505
1096	82824	30426
1097	82890	30347
1098	82957	30269
1099	83023	30190
1100	83086	30110
1101	83148	30030
1102	83211	29950
1103	83279	29872
1104	83348	29794
1105	83423	29718
1106	83501	29644
1107	83577	29568
1108	83643	29490
1109	83708	29411
1110	83774	29332
1111	83842	29254
1112	83908	29175
1113	83980	29099
1114	84047	29020
1115	84113	28942
1116	84179	28863
1117	84246	28785
1118	84315	28708
1119	84387	28631
1120	84451	28552
1121	84517	28473
1122	84586	28396
1123	84660	28320
1124	84737	28245
1125	84813	28170
1126	84884	28094
1127	84953	28016
1128	85020	27938
1129	85090	27861
1130	85155	27782
1131	85219	27703
1132	85285	27625
1133	85356	27548
1134	85427	27472
1135	85497	27395
1136	85574	27320
1137	85648	27244
1138	85714	27166
1139	85785	27090
1140	85866	27016
1141	85943	26942
1142	86015	26865
1143	86082	26788
1144	86149	26710
1145	86214	26631
1146	86278	26552
1147	86351	26477
1148	86429	26402
1149	86511	26329
1150	86598	26257
1151	86686	26186
1152	86770	26113
1153	86899	26054
1154	86964	25976
1155	87042	25901
1156	87117	25826
1157	87184	25748
1158	87246	25669
1159	87309	25590
1160	87374	25512
1161	87446	25436
1162	87509	25357
1163	87570	25278
1164	87633	25199
1165	87696	25120
1166	87761	25042
1167	87825	24964
1168	87890	24885
1169	87957	24808
1170	88020	24729
1171	88087	24652
1172	88151	24574
1173	88226	24498
1174	88298	24423
1175	88370	24346
1176	88437	24269
1177	88505	24192
1178	88569	24114
1179	88634	24036
1180	88698	23958
1181	88761	23880
1182	88823	23801
1183	88889	23723
1184	88952	23645
1185	89016	23567
1186	89089	23491
1187	89185	23422
1188	89270	23350
1189	89342	23274
1190	89422	23200
1191	89506	23127
1192	89582	23052
1193	89653	22976
1194	89721	22899
1195	89786	22821
1196	89849	22743
1197	89917	22667
1198	89983	22589
1199	90048	22512
1200	90116	22435
1201	90185	22358
1202	90250	22281
1203	90317	22204
1204	90383	22127
1205	90447	22049
1206	90516	21973
1207	90586	21896
1208	90663	21822
1209	90733	21746
1210	90802	21669
1211	90869	21592
1212	90937	21516
1213	91002	21438
1214	91068	21361
1215	91142	21286
1216	91211	21210
1217	91295	21137
1218	91376	21063
1219	91466	20992
1220	91543	20917
1221	91615	20842
1222	91687	20766
1223	91756	20690
1224	91838	20616
1225	91919	20543
1226	91991	20467
1227	92058	20390
1228	92124	20313
1229	92198	20238
1230	92263	20161
1231	92337	20086
1232	92404	20009
1233	92468	19932
1234	92538	19856
1235	92609	19780
1236	92678	19704
1237	92747	19628
1238	92813	19551
1239	92885	19475
1240	92956	19400
1241	93048	19328
1242	93152	19260
1243	93259	19191
1244	93345	19118
1245	93415	19042
1246	93482	18966
1247	93545	18888
1248	93632	18816
1249	93699	18739
1250	93768	18663
1251	93831	18586
1252	93896	18509
1253	93960	18432
1254	94022	18355
1255	94087	18278
1256	94149	18200
1257	94221	18125
1258	94298	18050
1259	94373	17975
1260	94438	17899
1261	94501	17822
1262	94565	17745
1263	94638	17669
1264	94732	17598
1265	94838	17529
1266	94914	17454
1267	94984	17378
1268	95054	17303
1269	95122	17226
1270	95189	17150
1271	95265	17075
1272	95334	16999
1273	95404	16924
1274	95482	16849
1275	95557	16775
1276	95636	16700
1277	95702	16624
1278	95770	16548
1279	95838	16472
1280	95904	16395
1281	95974	16320
1282	96038	16243
1283	96102	16166
1284	96165	16090
1285	96230	16013
1286	96299	15937
1287	96366	15861
1288	96433	15785
1289	96500	15709
1290	96569	15633
1291	96644	15558
1292	96720	15484
1293	96800	15410
1294	96870	15334
1295	96937	15258
1296	97004	15182
1297	97071	15106
1298	97136	15030
1299	97203	14954
1300	97271	14878
1301	97340	14802
1302	97409	14727
1303	97477	14651
1304	97545	14575
1305	97610	14499
1306	97680	14424
1307	97748	14348
1308	97818	14272
1309	97900	14199
1310	97980	14125
1311	98053	14050
1312	98133	13976
1313	98200	13900
1314	98267	13824
1315	98337	13749
1316	98402	13673
1317	98471	13597
1318	98540	13522
1319	98606	13446
1320	98670	13370
1321	98743	13295
1322	98811	13219
1323	98879	13144
1324	98947	13068
1325	99015	12992
1326	99094	12918
1327	99170	12844
1328	99246	12769
1329	99310	12693
1330	99379	12618
1331	99443	12542
1332	99509	12466
1333	99575	12390
1334	99638	12314
1335	99703	12239
1336	99774	12163
1337	99844	12088
1338	99910	12013
1339	99978	11937
1340	100044	11862
1341	100113	11786
1342	100180	11711
1343	100246	11635
1344	100323	11561
1345	100404	11487
1346	100478	11412
1347	100545	11337
1348	100612	11262
1349	100679	11186
1350	100749	11111
1351	100818	11036
1352	100884	10960
1353	100948	10885
1354	101016	10809
1355	101082	10734
1356	101148	10658
1357	101212	10583
1358	101277	10507
1359	101341	10432
1360	101410	10357
1361	101483	10282
1362	101563	10208
1363	101642	10134
1364	101710	10059
1365	101781	9984
1366	101849	9909
1367	101916	9834
1368	101984	9758
1369	102052	9683
1370	102121	9608
1371	102189	9533
1372	102256	9458
1373	102322	9383
1374	102391	9308
1375	102460	9233
1376	102527	9158
1377	102595	9083
1378	102665	9008
1379	102741	8934
1380	102832	8861
1381	102902	8786
1382	102965	8710
1383	103032	8635
1384	103097	8560
1385	103166	8485
1386	103234	8410
1387	103301	8335
1388	103366	8260
1389	103434	8185
1390	103505	8110
1391	103570	8035
1392	103640	7960
1393	103707	7885
1394	103774	7810
1395	103846	7736
1396	103924	7662
1397	104001	7588
1398	104073	7513
1399	104139	7438
1400	104208	7363
1401	104275	7288
1402	104339	7213
1403	104405	7138
1404	104470	7063
1405	104536	6988
1406	104599	6913
1407	104663	6838
1408	104727	6763
1409	104794	6689
1410	104871	6614
1411	104937	6540
1412	105002	6465
1413	105070	6390
1414	105147	6316
1415	105226	6242
1416	105294	6167
1417	105359	6092
1418	105427	6018
1419	105494	5943
1420	105564	5868
1421	105628	5793
1422	105696	5719
1423	105765	5644
1424	105829	5569
1425	105898	5495
1426	105962	5420
1427	106024	5345
1428	106087	5270
1429	106150	5196
1430	106216	5121
1431	106284	5047
1432	106357	4972
1433	106430	4898
1434	106495	4823
1435	106560	4749
1436	106623	4674
1437	106687	4599
1438	106751	4525
1439	106816	4450
1440	106881	4376
1441	106946	4301
1442	107008	4226
1443	107069	4152
1444	107133	4077
1445	107199	4003
1446	107264	3928
1447	107329	3854
1448	107393	3779
1449	107457	3705
1450	107529	3631
1451	107606	3557
1452	107674	3482
1453	107740	3408
1454	107808	3334
1455	107875	3259
1456	107944	3185
1457	108008	3111
1458	108076	3037
1459	108137	2962
1460	108201	2888
1461	108267	2814
1462	108332	2739
1463	108393	2665
1464	108458	2591
1465	108520	2516
1466	108582	2442
1467	108650	2368
1468	108726	2294
1469	108810	2220
1470	108894	2146
1471	108965	2072
1472	109033	1998
1473	109096	1924
1474	109160	1850
1475	109232	1776
1476	109294	1701
1477	109356	1627
1478	109422	1553
1479	109486	1479
1480	109549	1405
1481	109612	1331
1482	109678	1257
1483	109741	1183
1484	109804	1109
1485	109873	1035
1486	109948	961
1487	110026	887
1488	110093	813
1489	110156	739
1490	110218	665
1491	110281	591
1492	110344	517
1493	110406	443
1494	110473	369
1495	110540	295
1496	110602	221
1497	110666	147
1498	110729	73
1499	110793	0
